,16 RISERS 6 X 8,24 RISERS 6 X 8,30 COCKTAIL ROUNDS,30 STAND UP ROUNDS,32 RISERS 6 X 8,6 X 18 TABLES,6 X 30 TABLES,66 ROUND TABLES,8 X 18 TABLES,8 X 30 TABLES,MEETING ROOM CHAIRS,PODIUM,SETS OF STAGE STEPS
A 1,2,0,0,0,1,4,4,11,6,5,140,0,1
A 2,0,0,0,1,0,0,4,11,6,4,140,0,0
A 3,0,0,1,0,1,0,4,11,6,4,140,1,2
A 301,1,2,0,0,1,0,4,11,6,5,140,0,1
A 302,1,2,1,1,1,0,4,11,6,4,140,1,1
A 303,0,0,1,0,1,4,4,11,6,4,141,0,0
A 304,0,0,1,0,0,4,0,11,6,4,140,1,0
A 305,0,0,1,2,1,5,4,11,6,4,140,0,1
A 306,0,1,1,0,0,0,4,11,6,5,140,0,0
A 307,0,1,1,0,1,4,0,10,6,4,141,1,0
A 308,0,0,1,1,0,0,4,11,6,5,140,0,0
A 309,0,1,1,0,1,0,4,11,6,4,140,0,0
A 310,0,1,1,0,1,0,4,11,6,4,140,0,0
A 311,1,1,1,0,0,4,4,11,6,5,140,0,1
A 312,1,0,0,0,1,4,4,11,6,4,140,1,2
A 313,1,1,0,0,0,4,4,11,6,4,140,0,1
A 314,0,0,0,0,1,4,4,11,6,5,140,1,0
A 315,3,0,0,0,0,4,4,11,6,4,140,0,1
A 316,0,0,0,0,1,4,4,11,6,5,140,1,0
A 401,0,0,0,0,1,0,0,11,6,4,140,0,0
A 402,0,2,0,0,0,4,4,11,6,5,140,1,2
A 403,0,0,0,0,1,0,4,11,6,4,140,1,0
A 404,0,0,0,0,0,1,4,11,6,4,140,0,0
A 405,0,0,0,0,1,5,4,11,6,5,140,1,0
A 406,0,0,0,0,0,5,4,11,6,4,140,0,0
A 407,0,0,0,0,0,5,0,11,6,5,140,1,0
A 408,0,0,0,0,1,5,4,11,6,4,140,0,0
A 409,0,0,0,2,0,0,4,11,6,5,140,0,0
A 410,0,0,0,0,1,0,4,11,6,4,140,0,0
A 411,4,2,0,1,0,0,4,11,6,5,140,0,2
A 412,2,2,6,7,0,5,4,11,6,5,140,1,1
B 1,0,0,0,0,1,3,4,12,7,5,155,0,1
B 2,1,0,12,1,0,3,4,12,7,5,155,0,1
B 101,0,0,0,0,1,3,4,0,7,5,156,0,0
B 102,0,0,0,0,1,3,4,12,6,6,155,0,0
B 103,0,0,0,0,0,3,4,12,7,5,155,0,0
B 2,0,0,0,0,1,3,4,12,6,5,155,0,1
B 201,0,0,7,1,0,3,4,0,7,5,155,1,0
B 202,0,0,0,0,0,3,4,12,7,5,155,0,1
B 203,1,2,0,0,1,3,4,12,6,5,155,1,1
B 204,0,0,0,0,0,3,4,12,6,5,156,0,0
B 205,0,0,0,0,0,3,4,12,6,5,155,1,0
B 206,2,0,9,1,1,3,4,12,7,5,160,1,0
B 207,0,0,2,1,1,3,4,12,6,5,156,1,1
B 208,0,0,0,1,0,3,4,12,6,5,155,1,0
B 209,0,0,0,0,1,3,4,12,7,5,155,0,0
B 210,0,0,0,0,1,3,4,0,6,5,160,1,1
B 211,0,0,0,0,0,3,4,12,6,5,156,0,0
B 212,0,0,0,0,0,3,4,12,6,5,155,0,1
B 213,0,0,0,0,1,3,4,0,6,5,155,0,1
B 214,0,0,0,0,0,0,4,12,7,5,155,1,0
B 215,0,0,0,0,0,3,4,12,6,5,160,0,0
B 216,0,2,0,1,1,3,4,12,7,5,156,1,1
B 217,0,0,1,0,0,3,4,12,6,5,156,0,0
B 218,0,0,0,0,0,3,4,12,7,5,156,1,0
B 3,0,0,0,0,1,3,4,12,6,5,155,0,0
B 301,0,2,0,0,0,0,0,12,7,5,155,1,1
B 302,0,2,0,1,1,3,4,12,6,5,156,0,1
B 303,0,0,0,0,0,3,4,12,6,5,155,1,0
B 304,2,1,0,0,0,3,4,12,6,5,155,0,1
B 305,0,1,0,0,1,3,4,12,7,5,156,0,0
B 306,0,2,0,0,0,0,4,0,7,5,155,1,1
B 307,0,0,0,0,1,3,4,12,6,6,155,0,0
B 308,0,1,0,0,0,3,4,12,7,5,155,1,1
B 309,0,1,0,0,0,3,4,12,6,5,156,1,1
B 310,0,0,0,0,1,3,4,12,7,5,156,0,0
