Echelon,Storage Room, Commodity, Quantity
1,SA3D,16 RISERS 6 X 8,5
1,SA3D,32 RISERS 6 X 8,5
1,SA3D,PODIUM,12
1,SA3D,SETS OF STAGE STEPS,8
1,SA3M,16 RISERS 6 X 8,5
1,SA3M,32 RISERS 6 X 8,6
1,SA3M,PODIUM,1
1,SA3M,SETS OF STAGE STEPS,3
1,SA4A,16 RISERS 6 X 8,5
1,SA4A,32 RISERS 6 X 8,5
1,SA4A,SETS OF STAGE STEPS,4
1,SB2-2,SETS OF STAGE STEPS,5
1,SB2-4,16 RISERS 6 X 8,4
1,SB2-4,6 X 30 TABLES,415
1,SB2-4,66 ROUND TABLES,1060
1,SB2-5,MEETING ROOM CHAIRS,16126
1,SB2-5,30 COCKTAIL ROUNDS,36
1,SB2-5,30 STAND UP ROUNDS,20
1,SB2-5,32 RISERS 6 X 8,27
1,SB2-5,6 X 18 TABLES,280
1,SB2-5,8 X 18 TABLES,656
1,SB2-5,8 X 30 TABLES,508
1,SB2-5,PODIUM,3
1,SB2-5,SETS OF STAGE STEPS,2
1,SB3-1,32 RISERS 6 X 8,3
1,SB3-9,16 RISERS 6 X 8,3
1,SB3-9,32 RISERS 6 X 8,1
1,SB3-9,PODIUM,2
1,SB3-9,SETS OF STAGE STEPS,3
1,SB3-12,16 RISERS 6 X 8,3
1,SB3-12,32 RISERS 6 X 8,3
1,SB3-12,PODIUM,9
1,SB3-12,SETS OF STAGE STEPS,8
1,SB3-13,16 RISERS 6 X 8,3
1,SB3-13,32 RISERS 6 X 8,5
1,SB3-13,PODIUM,1
1,SB3-13,SETS OF STAGE STEPS,3
1,SB4-1,PODIUM,1
1,SB4-1,SETS OF STAGE STEPS,1
1,SB4-3,PODIUM,11
1,SB4-3,16 RISERS 6 X 8,1
1,SB4-3,32 RISERS 6 X 8,2
1,SB4-3,SETS OF STAGE STEPS,1
1,SB4-7,16 RISERS 6 X 8,1
1,SB4-9,16 RISERS 6 X 8,10
1,SB4-9,32 RISERS 6 X 8,5
1,SB4-9,PODIUM,5
1,SB4-9,SETS OF STAGE STEPS,6
1,SC2-2,16 RISERS 6 X 8,5
1,SC2-2,PODIUM,3
1,SC2-2,SETS OF STAGE STEPS,10
1,SC2-4,16 RISERS 6 X 8,8
